020	\\	$z9781783740314 (mobi)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
043	\\	$ae-uk-en$ae-uk-st
049	\\	$aPALS-EBRARY
050	14	$aPR507$b.A855 2014eb
082	04	$a821.04$223
100	1\	$aAtkinson, David,$eauthor.
245	14	$aThe Anglo-Scottish ballad and its imaginary contexts /$cDavid Atkinson.
264	\1	$aCambridge, England :$bOpen Book Publishers,$c2014.
264	\4	$c{copy}2014
300	\\	$a1 online resource (228 pages)
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
504	\\	$aIncludes bibliographical references and index.
588	\\	$aDescription based on online resource; title from PDF title page (ebrary, viewed January 7, 2015).
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aBallads, English$zEngland$xHistory and criticism.
650	\0	$aBallads, Scots$zScotland$xHistory and criticism.
655	\0	$aElectronic books.
776	08	$iPrint version:$aAtkinson, David.$tAnglo-Scottish ballad and its imaginary contexts.$dCambridge, England : Open Book Publishers, c2014 $h207 pages $z9781783740284
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10996512$zConnect to this resource:
907	\\	$a.b17715982$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$genk$h4$i0
910	\\	$aMARS
		
LDR		01793nam  2200421 i 4500
001		ocm00999999
003		OCoLC
005		20151122075034.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		150109t20112011caua\\\\ob\\\\001\0\eng\d
020	\\	$z9781597563970
020	\\	$a9781597567350 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
049	\\	$aPALS-EBRARY
050	14	$aRF294$b.P435 2011eb
082	04	$a617.8/075$222
100	1\	$aPeck, James E.,$d1940-$eauthor.
245	10	$aPseudohypacusis :$bfalse and exaggerated hearing loss /$cJames E. Peck.
264	\1	$aSan Diego, California ;$aOxfordshire, England :$bPlural Publishing, Inc.,$c2011.
264	\4	$c{copy}2011
300	\\	$a1 online resource (250 pages) :$billustrations
336	\\	$atext$btxt$2rdacontent
337	\\	$acomputer$bc$2rdamedia
338	\\	$aonline resource$bcr$2rdacarrier
504	\\	$aIncludes bibliographical references and index.
588	\\	$aDescription based on print version record.
590	\\	$aElectronic reproduction. Palo Alto, Calif. : ebrary, 2014. Available via World Wide Web. Access may be limited to ebrary affiliated libraries.
650	\0	$aHearing disorders$xDiagnosis.
650	\0	$aAudiometry.
655	\0	$aElectronic books.
776	08	$iPrint version:$aPeck, James E., 1940-$tPseudohypacusis : false and exaggerated hearing loss.$dSan Diego, California ; Oxfordshire, England : Plural Publishing, Inc., c2011 $hxiii, 233 pages $z9781597563970 $w2011001756
856	40	$uhttps://ezproxy.elon.edu/login?url=http://site.ebrary.com/lib/elon/Doc?id=10998274$zConnect to this resource:
907	\\	$a.b17716214$b04-24-15$c04-24-15
911	\\	$aRDA ENRICHED
998	\\	$a1bew$b04-24-15$cm$dz$e-$feng$gcau$h0$i0
910	\\	$aMARS
		
LDR		01813nam  2200421 i 4500
001		ocm00999999
003		OCoLC
005		20151122075034.0
006		m\\\\\o\\d\\\\\\\\
007		cr\cn|||||||||
008		150108t20152015caua\\\\o\\\\\001\0\eng\d
020	\\	$z9781593274085
020	\\	$a9781593276591 (e-book)
035	\\	$a(OCoLC)999999
040	\\	$aCaPaEBR$beng$erda$epn$cCaPaEBR
